model,metric,average,median,ci_lower,ci_upper
qlora-opt-350,accuracy,0.9811208942755228,0.9811040536777479,0.9802023523795632,0.9821121689894315
qlora-opt-350,precision,0.9696921945806878,0.9696925209178282,0.9675686653552666,0.9717109342722774
qlora-opt-350,recall,0.9632481199583658,0.9632473837916953,0.9607645234244533,0.9656085581566972
qlora-opt-350,f1,0.9663895306906759,0.9663888465608593,0.9642528037785848,0.9684899559500841
qlora-opt-350,matthews_correlation,0.9749166945761855,0.9749023480210213,0.9736869008530108,0.9762504031477615
