Metric,Precision,Recall,F1-score,Support
sadness,1.0,0.99,0.99,23174.0
joy,1.0,1.0,1.0,25833.0
love,0.97,0.96,0.97,5621.0
anger,0.98,0.99,0.99,10475.0
fear,0.99,0.98,0.99,7911.0
surprise,0.9,0.95,0.92,2399.0
accuracy,-,-,0.99,75413.0
macro avg,0.97,0.98,0.98,75413.0
weighted avg,0.99,0.99,0.99,75413.0
