model,metric,average,median,ci_lower,ci_upper
modernbert-base,accuracy,0.9886548738281199,0.9886491718934401,0.9879065943537586,0.989378489119913
modernbert-base,precision,0.979055124354651,0.9790559944445023,0.9772516322491992,0.9808335450335666
modernbert-base,recall,0.9726832336236421,0.9727044506487357,0.9704721250366962,0.9748243871764589
modernbert-base,f1,0.975742632347858,0.9757482809224705,0.9737853423013404,0.9776513628431821
modernbert-base,matthews_correlation,0.9849106046574089,0.9849050468662617,0.983919176237811,0.9858680721839389
